func_name,return_type,error_val(s),mubi,biff_key,cfile:linenumber
ell_Nm_check,int,1,0,ell,ell/genmat.c:23
ell_Nm_tran,int,1,0,ell,ell/genmat.c:57
ell_Nm_mul,int,1,0,ell,ell/genmat.c:102
ell_Nm_inv,int,1,0,ell,ell/genmat.c:336
ell_Nm_pseudo_inv,int,1,0,ell,ell/genmat.c:377
ell_Nm_wght_pseudo_inv,int,1,0,ell,ell/genmat.c:411
ell_q_avg4_d,int,1,0,ell,ell/quat.c:469
ell_q_avgN_d,int,1,0,ell,ell/quat.c:537
