func_name,return_type,error_val(s),mubi,biff_key,filename:linenumber
echoThreadStateInit,int,1,0,echo,echo/renderEcho.c:26
echoRTRenderCheck,int,1,0,echo,echo/renderEcho.c:134
echoRTRender,int,1,0,echo,echo/renderEcho.c:409
